City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rocha,UY,-34.4833,-54.3333,58.84,98,98,8.99,overcast clouds
80,Dingle,PH,10.9995,122.6711,78.35,88,90,1.97,overcast clouds
81,Saskylakh,RU,71.9167,114.0833,70.79,65,82,6.62,broken clouds
82,Thompson,CA,55.7435,-97.8558,60.96,94,100,8.05,mist
83,San Patricio,US,28.017,-97.5169,95.72,50,5,17.83,clear sky
84,Kangaatsiaq,GL,68.3065,-53.4641,39.2,96,100,8.99,overcast clouds
85,Strezhevoy,RU,60.7333,77.5889,55.67,97,77,4.21,broken clouds
86,Bethel,US,41.3712,-73.414,84.85,80,75,16.11,broken clouds
87,Lagos,NG,6.5833,3.75,75.2,91,100,6.08,overcast clouds
88,Provideniya,RU,64.3833,-173.3,50.11,66,75,15.66,broken clouds
89,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
90,Deputatskiy,RU,69.3,139.9,58.51,55,100,4.34,overcast clouds
91,San Quintin,MX,30.4833,-115.95,72.82,69,2,10.45,clear sky
92,Camana,PE,-16.6228,-72.7111,61.11,83,31,6.38,scattered clouds
93,Porto Murtinho,BR,-21.6989,-57.8825,81.54,30,2,5.48,clear sky
94,Torbay,CA,47.6666,-52.7314,72.37,87,75,25.32,broken clouds
95,Jamestown,US,42.097,-79.2353,71.94,54,0,13.8,clear sky
96,Victoria,HK,22.2855,114.1577,89.19,79,85,10.0,overcast clouds
97,Tagusao,PH,9.1924,117.8141,80.01,81,99,4.18,overcast clouds
98,Ahipara,NZ,-35.1667,173.1667,56.46,87,81,22.75,broken clouds
99,Morgan City,US,29.6994,-91.2068,85.01,67,89,8.61,overcast clouds
100,Souillac,MU,-20.5167,57.5167,68.38,88,40,9.22,scattered clouds
101,New Norfolk,AU,-42.7826,147.0587,51.93,88,99,0.74,overcast clouds
102,Vallenar,CL,-28.5708,-70.7581,62.35,57,27,2.75,scattered clouds
103,Butaritari,KI,3.0707,172.7902,82.65,69,93,18.32,overcast clouds
104,Kattivakkam,IN,13.2167,80.3167,82.08,81,100,8.39,overcast clouds
105,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,9.22,light rain
106,Valentin Gomez Farias,MX,28.2167,-106.5833,86.29,24,48,8.46,scattered clouds
107,Upernavik,GL,72.7868,-56.1549,39.51,90,45,11.68,scattered clouds
108,Tura,IN,25.5198,90.2201,73.04,98,100,3.18,overcast clouds
109,Airai,TL,-8.9266,125.4092,58.39,66,26,3.13,scattered clouds
110,Korla,CN,41.7597,86.1469,78.85,30,14,6.24,few clouds
111,Lima,PE,-12.0432,-77.0282,67.89,71,100,12.66,overcast clouds
112,Vangaindrano,MG,-23.35,47.6,67.06,91,75,4.61,broken clouds
113,Mataura,NZ,-46.1927,168.8643,45.48,97,100,10.78,overcast clouds
114,Alice Springs,AU,-23.7,133.8833,40.55,87,0,0.0,clear sky
115,Ribeira Grande,PT,38.5167,-28.7,75.31,86,15,5.57,few clouds
116,Gainesville,US,29.6516,-82.3248,90.95,65,45,2.35,scattered clouds
117,Yellowknife,CA,62.456,-114.3525,72.12,40,75,24.16,broken clouds
118,Cidreira,BR,-30.1811,-50.2056,61.2,96,18,5.3,few clouds
119,Paamiut,GL,61.994,-49.6678,44.71,88,49,3.94,scattered clouds
120,Ponta Do Sol,PT,32.6667,-17.1,84.83,63,56,3.71,broken clouds
121,Carnarvon,AU,-24.8667,113.6333,60.33,41,0,9.13,clear sky
122,Mar Del Plata,AR,-38.0023,-57.5575,54.09,95,100,14.0,overcast clouds
123,Nurota,UZ,40.5614,65.6886,86.29,19,0,7.63,clear sky
124,Kangundo,KE,-1.2979,37.3471,61.14,84,81,3.24,broken clouds
125,Pacific Grove,US,36.6177,-121.9166,72.01,77,20,11.5,few clouds
126,Puerto Ayora,EC,-0.7393,-90.3518,78.76,90,86,5.99,overcast clouds
127,Dudinka,RU,69.4058,86.1778,52.63,86,100,9.13,overcast clouds
128,Jutai,BR,-5.1833,-68.9,77.49,80,12,0.98,few clouds
129,Cayenne,GF,4.9333,-52.3333,83.08,3,0,4.61,clear sky
130,Sawtell,AU,-30.3833,153.1,62.62,67,0,6.91,clear sky
131,Kudahuvadhoo,MV,2.6708,72.8944,78.37,85,92,17.49,overcast clouds
132,Port Lincoln,AU,-34.7333,135.8667,53.11,68,9,9.66,clear sky
133,Tsybuliv,UA,49.0766,29.8461,58.26,87,27,5.88,scattered clouds
134,Lavrentiya,RU,65.5833,-171.0,41.52,86,100,16.58,overcast clouds
135,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,42,3.11,scattered clouds
136,Neiafu,TO,-18.65,-173.9833,79.48,57,40,11.5,scattered clouds
137,Grants Pass,US,42.439,-123.3284,109.45,26,0,0.0,clear sky
138,Constitucion,CL,-35.3333,-72.4167,53.44,89,100,21.34,light rain
139,Ostrovnoy,RU,68.0531,39.5131,51.22,85,36,9.73,scattered clouds
140,Gravdal,NO,68.1214,13.5031,55.9,84,77,9.89,broken clouds
141,Lata,PT,40.1629,-8.3327,59.76,97,0,3.02,clear sky
142,Touros,BR,-5.1989,-35.4608,74.35,74,68,15.46,broken clouds
143,Gazli,UZ,40.1333,63.45,88.38,22,1,9.91,clear sky
144,Teya,RU,60.3778,92.6267,55.85,99,100,2.06,overcast clouds
145,Atuona,PF,-9.8,-139.0333,77.45,68,26,10.78,scattered clouds
146,Barrow,US,71.2906,-156.7887,37.94,80,73,26.8,broken clouds
147,Mahebourg,MU,-20.4081,57.7,68.29,88,40,9.22,scattered clouds
148,Codrington,AU,-38.2667,141.9667,50.38,64,92,20.87,overcast clouds
149,Roseburg,US,43.2165,-123.3417,99.34,28,0,4.61,clear sky
150,Qasigiannguit,GL,68.8193,-51.1922,37.22,96,100,3.4,overcast clouds
151,Riyadh,SA,24.6877,46.7219,95.14,18,76,8.61,broken clouds
152,Ouallam,NE,14.3188,2.0866,79.54,69,93,23.78,light rain
153,Wenling,CN,28.3669,121.36,81.21,82,81,7.07,broken clouds
154,Palu,ID,-0.8917,119.8707,76.12,88,51,2.98,light rain
155,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,81,100,3.44,overcast clouds
156,Benalla,AU,-36.55,145.9833,45.86,92,56,11.18,broken clouds
157,Kirakira,SB,-10.4544,161.9205,83.44,75,54,9.57,broken clouds
158,Visby,SE,57.6409,18.296,70.02,68,0,16.11,clear sky
159,Gimli,CA,50.6336,-96.9907,74.41,65,72,10.67,broken clouds
160,Ludvika,SE,60.1496,15.1878,61.77,97,99,8.59,overcast clouds
161,Ferme-Neuve,CA,46.7001,-75.4493,65.62,62,57,8.59,broken clouds
162,Poco Verde,BR,-10.7083,-38.1833,65.34,96,88,4.56,overcast clouds
163,Polson,US,47.6936,-114.1632,85.71,45,99,3.78,overcast clouds
164,Chuy,UY,-33.6971,-53.4616,57.67,97,98,6.22,overcast clouds
165,Byumba,RW,-1.5763,30.0675,62.8,60,99,2.37,overcast clouds
166,Merauke,ID,-8.4667,140.3333,78.01,78,69,13.96,broken clouds
167,Caruray,PH,10.3094,119.0128,80.47,81,98,2.59,overcast clouds
168,Bambanglipuro,ID,-7.95,110.2833,68.49,88,89,3.49,overcast clouds
169,Cherskiy,RU,68.75,161.3,53.29,44,90,8.95,overcast clouds
170,Dali,CN,25.7,100.1833,60.73,93,89,3.96,light rain
171,Poum,NC,-20.2333,164.0167,73.51,71,0,14.5,clear sky
172,Khatanga,RU,71.9667,102.5,69.75,46,15,5.03,few clouds
173,Mao,ES,39.8885,4.2658,81.16,89,40,17.27,scattered clouds
174,Saint-Philippe,RE,-21.3585,55.7679,65.21,80,37,7.16,scattered clouds
